date,BBQ,chicken,recipe,isPartial
2022-05-22,9,37,41,False
2022-05-29,13,39,56,False
2022-06-05,9,38,43,False
2022-06-12,12,37,45,False
2022-06-19,9,37,45,False
2022-06-26,8,38,43,False
2022-07-03,10,36,43,False
2022-07-10,14,35,44,False
2022-07-17,12,35,44,False
2022-07-24,8,36,44,False
2022-07-31,8,34,45,False
2022-08-07,12,35,45,False
2022-08-14,7,35,47,False
2022-08-21,7,36,49,False
2022-08-28,6,37,51,False
2022-09-04,3,37,46,False
2022-09-11,4,35,51,False
2022-09-18,3,38,55,False
2022-09-25,4,40,54,False
2022-10-02,3,39,52,False
2022-10-09,3,39,51,False
2022-10-16,3,40,53,False
2022-10-23,3,39,59,False
2022-10-30,3,39,54,False
2022-11-06,2,38,49,False
2022-11-13,3,38,50,False
2022-11-20,2,35,47,False
2022-11-27,3,33,47,False
2022-12-04,2,34,52,False
2022-12-11,3,34,57,False
2022-12-18,3,38,91,False
2022-12-25,3,35,64,False
2023-01-01,3,42,52,False
2023-01-08,3,43,51,False
2023-01-15,3,43,52,False
2023-01-22,3,42,56,False
2023-01-29,3,41,52,False
2023-02-05,3,41,52,False
2023-02-12,3,42,56,False
2023-02-19,3,40,73,False
2023-02-26,4,42,51,False
2023-03-05,3,41,53,False
2023-03-12,3,40,50,False
2023-03-19,4,42,52,False
2023-03-26,5,41,48,False
2023-04-02,8,40,55,False
2023-04-09,7,41,54,False
2023-04-16,7,41,49,False
2023-04-23,7,42,47,False
2023-04-30,9,44,57,False
2023-05-07,9,40,46,False
2023-05-14,11,39,45,False
2023-05-21,17,39,43,False
2023-05-28,18,40,49,False
2023-06-04,15,36,44,False
2023-06-11,16,40,44,False
2023-06-18,11,37,45,False
2023-06-25,9,37,43,False
2023-07-02,8,39,46,False
2023-07-09,7,38,45,False
2023-07-16,6,36,46,False
2023-07-23,6,37,46,False
2023-07-30,6,39,50,False
2023-08-06,6,38,49,False
2023-08-13,7,38,52,False
2023-08-20,7,38,49,False
2023-08-27,6,38,54,False
2023-09-03,9,38,47,False
2023-09-10,5,37,46,False
2023-09-17,4,38,48,False
2023-09-24,3,38,50,False
2023-10-01,3,39,50,False
2023-10-08,3,38,48,False
2023-10-15,3,39,50,False
2023-10-22,3,37,54,False
2023-10-29,3,39,55,False
2023-11-05,3,37,52,False
2023-11-12,3,39,54,False
2023-11-19,3,38,52,False
2023-11-26,2,36,52,False
2023-12-03,3,37,54,False
2023-12-10,3,41,59,False
2023-12-17,3,45,80,False
2023-12-24,3,43,78,False
2023-12-31,3,45,57,False
2024-01-07,3,46,55,False
2024-01-14,3,45,56,False
2024-01-21,3,45,54,False
2024-01-28,3,41,52,False
2024-02-04,3,42,54,False
2024-02-11,3,41,75,False
2024-02-18,3,41,52,False
2024-02-25,3,42,50,False
2024-03-03,3,41,50,False
2024-03-10,3,41,50,False
2024-03-17,4,42,53,False
2024-03-24,5,42,58,False
2024-03-31,6,41,51,False
2024-04-07,6,42,49,False
2024-04-14,6,41,47,False
2024-04-21,6,45,48,False
2024-04-28,7,40,46,False
2024-05-05,15,39,45,False
2024-05-12,12,37,41,False
2024-05-19,12,38,43,False
2024-05-26,10,40,49,False
2024-06-02,10,40,43,False
2024-06-09,8,39,46,False
2024-06-16,10,36,44,False
2024-06-23,12,35,40,False
2024-06-30,7,35,42,False
2024-07-07,7,36,45,False
2024-07-14,9,37,44,False
2024-07-21,9,37,46,False
2024-07-28,11,37,43,False
2024-08-04,8,38,46,False
2024-08-11,9,38,46,False
2024-08-18,7,39,49,False
2024-08-25,7,38,48,False
2024-09-01,5,38,47,False
2024-09-08,3,38,50,False
2024-09-15,4,38,48,False
2024-09-22,3,39,50,False
2024-09-29,3,40,51,False
2024-10-06,3,41,53,False
2024-10-13,3,41,52,False
2024-10-20,3,40,54,False
2024-10-27,3,42,56,False
2024-11-03,3,40,47,False
2024-11-10,3,41,50,False
2024-11-17,3,39,51,False
2024-11-24,3,38,50,False
2024-12-01,2,37,50,False
2024-12-08,3,37,51,False
2024-12-15,3,37,63,False
2024-12-22,3,40,100,False
2024-12-29,3,45,58,False
2025-01-05,3,46,51,False
2025-01-12,3,46,51,False
2025-01-19,3,46,53,False
2025-01-26,3,43,49,False
2025-02-02,3,45,51,False
2025-02-09,3,43,52,False
2025-02-16,3,42,51,False
2025-02-23,3,44,50,False
2025-03-02,5,44,68,False
2025-03-09,5,44,47,False
2025-03-16,5,43,48,False
2025-03-23,6,42,50,False
2025-03-30,9,41,43,False
2025-04-06,13,45,45,False
2025-04-13,9,45,54,False
2025-04-20,9,43,47,False
2025-04-27,15,42,39,False
2025-05-04,12,44,45,False
2025-05-11,14,41,42,False
2025-05-18,10,41,42,False
2025-05-25,9,43,47,False
2025-06-01,7,42,44,False
2025-06-08,9,38,41,False
2025-06-15,14,40,42,False
2025-06-22,10,39,42,False
2025-06-29,10,39,41,False
2025-07-06,12,41,42,False
2025-07-13,9,40,44,False
2025-07-20,7,42,42,False
2025-07-27,7,41,47,False
2025-08-03,8,42,49,False
2025-08-10,10,40,50,False
2025-08-17,8,40,51,False
2025-08-24,7,43,54,False
2025-08-31,5,42,53,False
2025-09-07,4,42,55,False
2025-09-14,3,44,53,False
2025-09-21,3,41,57,False
2025-09-28,3,43,58,False
2025-10-05,3,42,56,False
2025-10-12,3,44,59,False
2025-10-19,3,45,61,False
2025-10-26,3,42,61,False
2025-11-02,3,45,56,False
2025-11-09,3,43,58,False
2025-11-16,3,42,61,False
2025-11-23,3,45,72,True
